Jesus Christ,JC
eternal life,lyf 4ever
just as,just like
it was good,it was aight
have sex with,f*ck
has sex with,f*cks
had sex with,f*cked
sexual relations,sexy times
commit adultery,cheat
commits adultery,cheats
committed adultery,cheated
adulterers,cheaters
not permitted,not ok
I do not know,idk
do not know,dunno
must be,gotta be
in order that,so dat
No one,Nobody
no one,nobody
O my God,OMG
has ascended,has gone up
has descended,has gone down
Truly I say to you that,TBH
truly I say to you that,tbh
Truly I say to you,TBH
truly I say to you,tbh
For tbh,Cuz tbh
for tbh,cuz tbh
say to,tell
For,Cuz
for I,cuz I
for even,cuz even
Cuz this,Cuz of this
sort of,kinda
a fool,an idiot
the fool,the idiot
Woe to you,Damn you
woe to you,damn you
my will,what I want
your will,what you want
Not a bone of his will,None of his bones will
his will,what he wants
will be,gonna be
